model,threshold,outer_fold,n_pos_train,n_pos_test,n_train,n_test,auc
xgboost,0.18181818181818182,5,2787,333,17317,1947,0.5519497192359646
xgboost,0.18181818181818182,6,2827,293,17367,1897,0.5455527137786931
xgboost,0.18181818181818182,7,2815,305,17320,1944,0.5550385580972004
xgboost,0.18181818181818182,8,2787,333,17308,1956,0.5580469563833705
xgboost,0.18181818181818182,9,2828,292,17308,1956,0.5656519609457324
xgboost,0.2727272727272727,0,2186,264,17363,1901,0.5378706891764314
xgboost,0.2727272727272727,1,2208,242,17352,1912,0.4840674023853121
xgboost,0.2727272727272727,2,2202,248,17308,1956,0.5670622591977035
xgboost,0.2727272727272727,3,2226,224,17404,1860,0.5638029929269996
xgboost,0.2727272727272727,4,2198,252,17329,1935,0.5375180375180375
xgboost,0.2727272727272727,5,2187,263,17317,1947,0.5527498803319997
xgboost,0.2727272727272727,6,2209,241,17367,1897,0.5422805540521579
xgboost,0.2727272727272727,7,2215,235,17320,1944,0.5659300573932746
xgboost,0.2727272727272727,8,2190,260,17308,1956,0.521050662191582
xgboost,0.2727272727272727,9,2229,221,17308,1956,0.5686583123606348
xgboost,0.36363636363636365,0,1667,195,17363,1901,0.576917064959269
xgboost,0.36363636363636365,1,1680,182,17352,1912,0.5061328844565839
xgboost,0.36363636363636365,2,1668,194,17308,1956,0.5257380905016558
xgboost,0.36363636363636365,3,1696,166,17404,1860,0.5861900968691768
xgboost,0.36363636363636365,4,1679,183,17329,1935,0.5316079047832922
xgboost,0.36363636363636365,5,1661,201,17317,1947,0.5434725000427416
xgboost,0.36363636363636365,6,1677,185,17367,1897,0.527606403132104
xgboost,0.36363636363636365,7,1676,186,17320,1944,0.5562635326067011
xgboost,0.36363636363636365,8,1658,204,17308,1956,0.5446352627809115
xgboost,0.36363636363636365,9,1696,166,17308,1956,0.5711112606851989
xgboost,0.4545454545454546,0,1370,166,17363,1901,0.5592201659664595
xgboost,0.4545454545454546,1,1386,150,17352,1912,0.5207075293227392
xgboost,0.4545454545454546,2,1381,155,17308,1956,0.5304759004853934
xgboost,0.4545454545454546,3,1389,147,17404,1860,0.5601224728069862
xgboost,0.4545454545454546,4,1386,150,17329,1935,0.5174771241830066
xgboost,0.4545454545454546,5,1372,164,17317,1947,0.5237456055155056
xgboost,0.4545454545454546,6,1398,138,17367,1897,0.5476205189048454
xgboost,0.4545454545454546,7,1386,150,17320,1944,0.5640858416945373
xgboost,0.4545454545454546,8,1367,169,17308,1956,0.5350559431528825
xgboost,0.4545454545454546,9,1389,147,17308,1956,0.5464232127345133
xgboost,0.5454545454545454,0,1081,135,17363,1901,0.5472211736084895
xgboost,0.5454545454545454,1,1089,127,17352,1912,0.5128476587485388
xgboost,0.5454545454545454,2,1091,125,17308,1956,0.5282424904423813
xgboost,0.5454545454545454,3,1099,117,17404,1860,0.5433553505842662
xgboost,0.5454545454545454,4,1099,117,17329,1935,0.5179073462901846
xgboost,0.5454545454545454,5,1087,129,17317,1947,0.5249571468774785
xgboost,0.5454545454545454,6,1110,106,17367,1897,0.529602941331395
xgboost,0.5454545454545454,7,1099,117,17320,1944,0.5442905327962799
xgboost,0.5454545454545454,8,1095,121,17308,1956,0.5269552097642263
xgboost,0.5454545454545454,9,1094,122,17308,1956,0.5760006793356812
xgboost,0.6363636363636364,0,847,102,17363,1901,0.5282346401595657
xgboost,0.6363636363636364,1,843,106,17352,1912,0.535131845629871
xgboost,0.6363636363636364,2,857,92,17308,1956,0.5487730919947751
xgboost,0.6363636363636364,3,857,92,17404,1860,0.5469026657485737
xgboost,0.6363636363636364,4,860,89,17329,1935,0.523634460175052
xgboost,0.6363636363636364,5,848,101,17317,1947,0.5182814326936486
xgboost,0.6363636363636364,6,869,80,17367,1897,0.5686020913593836
xgboost,0.6363636363636364,7,849,100,17320,1944,0.5295390455531455
xgboost,0.6363636363636364,8,861,88,17308,1956,0.5269825530465252
xgboost,0.6363636363636364,9,850,99,17308,1956,0.5572145798317042
xgboost,0.7272727272727273,0,583,66,17363,1901,0.5225414912063413
xgboost,0.7272727272727273,1,581,68,17352,1912,0.5160696057164731
xgboost,0.7272727272727273,2,587,62,17308,1956,0.47517627823006436
xgboost,0.7272727272727273,3,583,66,17404,1860,0.5649006790311137
xgboost,0.7272727272727273,4,587,62,17329,1935,0.5563698052115805
xgboost,0.7272727272727273,5,579,70,17317,1947,0.5260598219042545
xgboost,0.7272727272727273,6,594,55,17367,1897,0.5707531339453162
xgboost,0.7272727272727273,7,580,69,17320,1944,0.4892251207729469
xgboost,0.7272727272727273,8,591,58,17308,1956,0.44406089894989276
xgboost,0.7272727272727273,9,576,73,17308,1956,0.5322241541114078
xgboost,0.8181818181818182,0,395,45,17363,1901,0.5423132183908046
xgboost,0.8181818181818182,1,400,40,17352,1912,0.47918002136752136
xgboost,0.8181818181818182,2,400,40,17308,1956,0.5311456158663883
xgboost,0.8181818181818182,3,391,49,17404,1860,0.4942359052953042
xgboost,0.8181818181818182,4,395,45,17329,1935,0.525949441504997
xgboost,0.8181818181818182,5,389,51,17317,1947,0.502026971126003
xgboost,0.8181818181818182,6,408,32,17367,1897,0.48956099195710456
xgboost,0.8181818181818182,7,390,50,17320,1944,0.4700422386483632
xgboost,0.8181818181818182,8,396,44,17308,1956,0.47795026626093573
xgboost,0.8181818181818182,9,396,44,17308,1956,0.4769755610498288
xgboost,0.9090909090909092,0,208,19,17363,1901,0.4628334918060294
xgboost,0.9090909090909092,1,205,22,17352,1912,0.5746031746031746
xgboost,0.9090909090909092,2,206,21,17308,1956,0.5622246831549157
xgboost,0.9090909090909092,3,204,23,17404,1860,0.5080589808525242
xgboost,0.9090909090909092,4,201,26,17329,1935,0.5344118950719264
xgboost,0.9090909090909092,5,200,27,17317,1947,0.48094135802469135
xgboost,0.9090909090909092,6,211,16,17367,1897,0.5802432216905902
xgboost,0.9090909090909092,7,201,26,17320,1944,0.5268308334001764
xgboost,0.9090909090909092,8,203,24,17308,1956,0.5019625603864735
xgboost,0.9090909090909092,9,204,23,17308,1956,0.493803279425988
