arm,task,model,outer_fold,role,n,n_pos,n_neg,auc,ap
2_presence_concat_quantile,w_class,xgb_clf,5,test,564,232,332,0.5332883257166597,0.4278649211413177
2_presence_concat_quantile,w_class,xgb_clf,6,test,582,270,312,0.5680971035137702,0.513902409480124
2_presence_concat_quantile,w_class,xgb_clf,7,test,573,230,343,0.5354924578527063,0.4286236814815183
2_presence_concat_quantile,w_class,xgb_clf,8,test,576,230,346,0.5966071877356119,0.4586759537221291
2_presence_concat_quantile,w_class,xgb_clf,9,test,563,257,306,0.5764858472571908,0.522187069283486
2_presence_concat_quantile,w_class,mlp_clf_w_class,0,test,581,254,327,0.5837306460545643,0.5022551268613983
2_presence_concat_quantile,w_class,mlp_clf_w_class,1,test,607,262,345,0.5550558690120588,0.4666147763927728
2_presence_concat_quantile,w_class,mlp_clf_w_class,2,test,591,270,321,0.5283200646128996,0.48073981324520815
2_presence_concat_quantile,w_class,mlp_clf_w_class,3,test,577,232,345,0.5501811594202899,0.4395434954781955
2_presence_concat_quantile,w_class,mlp_clf_w_class,4,test,552,236,316,0.5647259171851533,0.46333092584787194
2_presence_concat_quantile,w_class,mlp_clf_w_class,5,test,564,232,332,0.5105421686746988,0.412935172211784
2_presence_concat_quantile,w_class,mlp_clf_w_class,6,test,582,270,312,0.5416607312440646,0.48762142765139366
2_presence_concat_quantile,w_class,mlp_clf_w_class,7,test,573,230,343,0.5401571808847763,0.4401011530387322
2_presence_concat_quantile,w_class,mlp_clf_w_class,8,test,576,230,346,0.5610580547876352,0.4339696287100543
2_presence_concat_quantile,w_class,mlp_clf_w_class,9,test,563,257,306,0.552847079168892,0.5052296499381852
3_presence_concat_equaldim,y,sparse_logistic,0,test,581,20,561,0.6561497326203208,0.12896648481580786
3_presence_concat_equaldim,y,sparse_logistic,1,test,607,18,589,0.6695906432748537,0.08045851359704707
3_presence_concat_equaldim,y,sparse_logistic,2,test,591,19,572,0.7655502392344496,0.18912466152726437
3_presence_concat_equaldim,y,sparse_logistic,3,test,577,27,550,0.6909090909090909,0.25249888520803915
3_presence_concat_equaldim,y,sparse_logistic,4,test,552,18,534,0.8011860174781523,0.2339226499899202
3_presence_concat_equaldim,y,sparse_logistic,5,test,564,17,547,0.7129798903107861,0.2563335888200213
3_presence_concat_equaldim,y,sparse_logistic,6,test,582,23,559,0.6454849498327758,0.09692125785756742
3_presence_concat_equaldim,y,sparse_logistic,7,test,573,17,556,0.6177528565382988,0.09151864037935216
3_presence_concat_equaldim,y,sparse_logistic,8,test,576,22,554,0.7614046603216279,0.16899716823771602
3_presence_concat_equaldim,y,sparse_logistic,9,test,563,17,546,0.7368024132730014,0.14441572911862863
3_presence_concat_equaldim,y,xgb_clf,0,test,581,20,561,0.7545454545454545,0.20320420143227175
3_presence_concat_equaldim,y,xgb_clf,1,test,607,18,589,0.7797585361252594,0.14719100083533213
3_presence_concat_equaldim,y,xgb_clf,2,test,591,19,572,0.8630842841369157,0.2815150234953768
3_presence_concat_equaldim,y,xgb_clf,3,test,577,27,550,0.7874747474747475,0.4008356906133543
3_presence_concat_equaldim,y,xgb_clf,4,test,552,18,534,0.8496670828131503,0.307013947358145
3_presence_concat_equaldim,y,xgb_clf,5,test,564,17,547,0.8054629530056995,0.2537124889209004
3_presence_concat_equaldim,y,xgb_clf,6,test,582,23,559,0.7590417671307459,0.14919934936545637
3_presence_concat_equaldim,y,xgb_clf,7,test,573,17,556,0.751163774862463,0.1710206126654164
3_presence_concat_equaldim,y,xgb_clf,8,test,576,22,554,0.8474729241877257,0.28492090471670295
3_presence_concat_equaldim,y,xgb_clf,9,test,563,17,546,0.8383968972204267,0.18626463041393176
3_presence_concat_equaldim,y,mlp_clf_y,0,test,581,20,561,0.7172905525846702,0.204784974928298
3_presence_concat_equaldim,y,mlp_clf_y,1,test,607,18,589,0.7810790416902471,0.18053659410909542
3_presence_concat_equaldim,y,mlp_clf_y,2,test,591,19,572,0.8816709606183291,0.35523548986027437
3_presence_concat_equaldim,y,mlp_clf_y,3,test,577,27,550,0.7843097643097643,0.4422448699237347
3_presence_concat_equaldim,y,mlp_clf_y,4,test,552,18,534,0.8710986267166042,0.2671415794021712
3_presence_concat_equaldim,y,mlp_clf_y,5,test,564,17,547,0.7798688030971072,0.33924389895831636
3_presence_concat_equaldim,y,mlp_clf_y,6,test,582,23,559,0.835887065411838,0.22398324364905597
3_presence_concat_equaldim,y,mlp_clf_y,7,test,573,17,556,0.8027930596699111,0.23171679907955758
3_presence_concat_equaldim,y,mlp_clf_y,8,test,576,22,554,0.8115359369872005,0.2612457244941748
3_presence_concat_equaldim,y,mlp_clf_y,9,test,563,17,546,0.7965955613014437,0.23771022932720764
3_presence_concat_equaldim,w_class,sparse_logistic,0,test,581,254,327,0.6214332153434949,0.5288607118641933
3_presence_concat_equaldim,w_class,sparse_logistic,1,test,607,262,345,0.5800862927314968,0.5098156690275223
3_presence_concat_equaldim,w_class,sparse_logistic,2,test,591,270,321,0.5769931925695166,0.5072209179675533
3_presence_concat_equaldim,w_class,sparse_logistic,3,test,577,232,345,0.6010119940029985,0.5075487140906093
3_presence_concat_equaldim,w_class,sparse_logistic,4,test,552,236,316,0.5689363870414074,0.4836499428803239
3_presence_concat_equaldim,w_class,sparse_logistic,5,test,564,232,332,0.5476604694640631,0.4558367481159263
3_presence_concat_equaldim,w_class,sparse_logistic,6,test,582,270,312,0.6028727445394112,0.5492670656785258
3_presence_concat_equaldim,w_class,sparse_logistic,7,test,573,230,343,0.5887438205095703,0.4745103331720054
3_presence_concat_equaldim,w_class,sparse_logistic,8,test,576,230,346,0.6031854737371198,0.4697689905167812
3_presence_concat_equaldim,w_class,sparse_logistic,9,test,563,257,306,0.5751252511380688,0.5274738985237006
3_presence_concat_equaldim,w_class,xgb_clf,0,test,581,254,327,0.6317753858749308,0.533233921504565
3_presence_concat_equaldim,w_class,xgb_clf,1,test,607,262,345,0.5697864808053987,0.5072169602542829
3_presence_concat_equaldim,w_class,xgb_clf,2,test,591,270,321,0.547028960424599,0.4827345851626855
3_presence_concat_equaldim,w_class,xgb_clf,3,test,577,232,345,0.5979010494752623,0.4818886008297615
3_presence_concat_equaldim,w_class,xgb_clf,4,test,552,236,316,0.5754130015018236,0.4893026487344255
3_presence_concat_equaldim,w_class,xgb_clf,5,test,564,232,332,0.5388190693809721,0.43310128516383006
3_presence_concat_equaldim,w_class,xgb_clf,6,test,582,270,312,0.6015194681861349,0.5556596458219207
3_presence_concat_equaldim,w_class,xgb_clf,7,test,573,230,343,0.5360375205983015,0.43338279166131616
3_presence_concat_equaldim,w_class,xgb_clf,8,test,576,230,346,0.5863659210857,0.45150314903602407
3_presence_concat_equaldim,w_class,xgb_clf,9,test,563,257,306,0.5674448767833982,0.5159604032806703
3_presence_concat_equaldim,w_class,mlp_clf_w_class,0,test,581,254,327,0.5872041224204773,0.5091368689949786
3_presence_concat_equaldim,w_class,mlp_clf_w_class,1,test,607,262,345,0.5567319393738245,0.4721843516647568
3_presence_concat_equaldim,w_class,mlp_clf_w_class,2,test,591,270,321,0.5496596284758279,0.5102393795470173
3_presence_concat_equaldim,w_class,mlp_clf_w_class,3,test,577,232,345,0.5499750124937531,0.46272534629038126
3_presence_concat_equaldim,w_class,mlp_clf_w_class,4,test,552,236,316,0.5591343059429308,0.462090757722046
3_presence_concat_equaldim,w_class,mlp_clf_w_class,5,test,564,232,332,0.5059202326547569,0.419970880257552
3_presence_concat_equaldim,w_class,mlp_clf_w_class,6,test,582,270,312,0.55411918328585,0.48828907172554503
3_presence_concat_equaldim,w_class,mlp_clf_w_class,7,test,573,230,343,0.5360882241095196,0.4388729480111567
3_presence_concat_equaldim,w_class,mlp_clf_w_class,8,test,576,230,346,0.5561573259612969,0.4351170432898661
3_presence_concat_equaldim,w_class,mlp_clf_w_class,9,test,563,257,306,0.5441875842425168,0.49804518214691484
4_full_presence_sum_equaldim,y,sparse_logistic,0,test,581,20,561,0.6600713012477718,0.12941135735729925
4_full_presence_sum_equaldim,y,sparse_logistic,1,test,607,18,589,0.672514619883041,0.08047033266795196
4_full_presence_sum_equaldim,y,sparse_logistic,2,test,591,19,572,0.7662863452337136,0.18866438525812648
4_full_presence_sum_equaldim,y,sparse_logistic,3,test,577,27,550,0.6975084175084175,0.2535456044323398
4_full_presence_sum_equaldim,y,sparse_logistic,4,test,552,18,534,0.7974406991260924,0.23423579681418982
4_full_presence_sum_equaldim,y,sparse_logistic,5,test,564,17,547,0.7198623507904076,0.25680692361460616
4_full_presence_sum_equaldim,y,sparse_logistic,6,test,582,23,559,0.6629851442793808,0.09851992138423761
4_full_presence_sum_equaldim,y,sparse_logistic,7,test,573,17,556,0.6325645366060093,0.0922106412617822
4_full_presence_sum_equaldim,y,sparse_logistic,8,test,576,22,554,0.7603380374138498,0.16749524932191748
4_full_presence_sum_equaldim,y,sparse_logistic,9,test,563,17,546,0.7426201249730662,0.14370710944723372
4_full_presence_sum_equaldim,y,xgb_clf,0,test,581,20,561,0.7475044563279858,0.1999993694983019
4_full_presence_sum_equaldim,y,xgb_clf,1,test,607,18,589,0.812110922467459,0.16688356686826492
4_full_presence_sum_equaldim,y,xgb_clf,2,test,591,19,572,0.8700772911299227,0.3088998545903414
4_full_presence_sum_equaldim,y,xgb_clf,3,test,577,27,550,0.783905723905724,0.4352319556309494
4_full_presence_sum_equaldim,y,xgb_clf,4,test,552,18,534,0.8605909280066583,0.35945055785770036
4_full_presence_sum_equaldim,y,xgb_clf,5,test,564,17,547,0.7855683406817937,0.20301708423789483
4_full_presence_sum_equaldim,y,xgb_clf,6,test,582,23,559,0.7927199191102124,0.21098266657684805
4_full_presence_sum_equaldim,y,xgb_clf,7,test,573,17,556,0.787240795598815,0.21642862910016908
4_full_presence_sum_equaldim,y,xgb_clf,8,test,576,22,554,0.8204791598293404,0.281561596436156
4_full_presence_sum_equaldim,y,xgb_clf,9,test,563,17,546,0.8375350140056024,0.21071888937165878
4_full_presence_sum_equaldim,y,mlp_clf_y,0,test,581,20,561,0.7502673796791444,0.19179033969895387
4_full_presence_sum_equaldim,y,mlp_clf_y,1,test,607,18,589,0.7847575929069986,0.17647674724096477
4_full_presence_sum_equaldim,y,mlp_clf_y,2,test,591,19,572,0.8640044166359955,0.2768360007806666
4_full_presence_sum_equaldim,y,mlp_clf_y,3,test,577,27,550,0.80013468013468,0.45321006192599805
4_full_presence_sum_equaldim,y,mlp_clf_y,4,test,552,18,534,0.8500832292967124,0.2870599165756224
4_full_presence_sum_equaldim,y,mlp_clf_y,5,test,564,17,547,0.8361114098290138,0.38354749139983363
4_full_presence_sum_equaldim,y,mlp_clf_y,6,test,582,23,559,0.8237535972621919,0.17964424384841265
4_full_presence_sum_equaldim,y,mlp_clf_y,7,test,573,17,556,0.8118916631400762,0.2286109880312601
4_full_presence_sum_equaldim,y,mlp_clf_y,8,test,576,22,554,0.8260584181161799,0.3095003008803185
4_full_presence_sum_equaldim,y,mlp_clf_y,9,test,563,17,546,0.7767722473604827,0.14079078266797088
4_full_presence_sum_equaldim,w_class,sparse_logistic,0,test,581,254,327,0.6216138120349636,0.529500177691226
4_full_presence_sum_equaldim,w_class,sparse_logistic,1,test,607,262,345,0.5809602832171701,0.5116178569426517
4_full_presence_sum_equaldim,w_class,sparse_logistic,2,test,591,270,321,0.5765028268143533,0.5066529444551034
4_full_presence_sum_equaldim,w_class,sparse_logistic,3,test,577,232,345,0.6025237381309345,0.5086303826872818
4_full_presence_sum_equaldim,w_class,sparse_logistic,4,test,552,236,316,0.5690570692984338,0.483456219094486
4_full_presence_sum_equaldim,w_class,sparse_logistic,5,test,564,232,332,0.5479850436227669,0.4556787293304799
4_full_presence_sum_equaldim,w_class,sparse_logistic,6,test,582,270,312,0.6026234567901234,0.5494161548077752
4_full_presence_sum_equaldim,w_class,sparse_logistic,7,test,573,230,343,0.5888325516542021,0.4745480898123336
4_full_presence_sum_equaldim,w_class,sparse_logistic,8,test,576,230,346,0.602909022367429,0.4695424752117238
4_full_presence_sum_equaldim,w_class,sparse_logistic,9,test,563,257,306,0.5758627705297423,0.5279801615831632
4_full_presence_sum_equaldim,w_class,xgb_clf,0,test,581,254,327,0.6476076958270125,0.5729595816473817
4_full_presence_sum_equaldim,w_class,xgb_clf,1,test,607,262,345,0.560299811926098,0.4789811024599285
4_full_presence_sum_equaldim,w_class,xgb_clf,2,test,591,270,321,0.5404811353409484,0.47670273140496117
4_full_presence_sum_equaldim,w_class,xgb_clf,3,test,577,232,345,0.6117691154422789,0.4992045789797298
4_full_presence_sum_equaldim,w_class,xgb_clf,4,test,552,236,316,0.5946148895086891,0.5090269946792008
4_full_presence_sum_equaldim,w_class,xgb_clf,5,test,564,232,332,0.5370339115081013,0.4230806021008915
4_full_presence_sum_equaldim,w_class,xgb_clf,6,test,582,270,312,0.5973765432098765,0.5492648238219325
4_full_presence_sum_equaldim,w_class,xgb_clf,7,test,573,230,343,0.5500823932057294,0.4415587807163418
4_full_presence_sum_equaldim,w_class,xgb_clf,8,test,576,230,346,0.6000502638853984,0.476231567619747
4_full_presence_sum_equaldim,w_class,xgb_clf,9,test,563,257,306,0.5496172528674246,0.48818180515499376
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,0,test,581,254,327,0.5824724891039996,0.49124799084396864
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,1,test,607,262,345,0.5352915145480694,0.4785459057517609
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,2,test,591,270,321,0.5368062766816661,0.48725177111330764
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,3,test,577,232,345,0.582871064467766,0.4691508262223263
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,4,test,552,236,316,0.5797307444754345,0.4913121188703101
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,5,test,564,232,332,0.5146577690070627,0.42591821340426234
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,6,test,582,270,312,0.5736823361823362,0.5240636064482043
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,7,test,573,230,343,0.523703891494486,0.43898316996922204
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,8,test,576,230,346,0.5481842171399849,0.4335211105101155
4_full_presence_sum_equaldim,w_class,mlp_clf_w_class,9,test,563,257,306,0.5353754990971745,0.48645712264733043
