source,feature_id,mean,var,score,selected,threshold
Xb,46924,0.18085106382978725,2.1282315259665934,0.09468312427068531,False,0.336238477090991
Xb,46925,0.031914893617021274,0.03122855181880579,0.015003851841645948,False,0.336238477090991
Xb,46926,0.9574468085106383,13.718599862731644,0.3918911454062126,True,0.336238477090991
Xb,46927,0.09574468085106383,0.2165408373369942,0.05413477679128662,False,0.336238477090991
Xb,46928,0.0851063829787234,0.12171127888355085,0.04379520631816133,False,0.336238477090991
Xb,46929,0.1595744680851064,0.7161976664378862,0.09023682327249506,False,0.336238477090991
Xb,46930,0.39361702127659576,1.7466254861587749,0.20211115417987105,False,0.336238477090991
Xb,46931,0.031914893617021274,0.03122855181880579,0.015003851841645948,False,0.336238477090991
Xb,46932,0.0851063829787234,0.14321665522763682,0.04380245391132532,False,0.336238477090991
Xb,46933,0.031914893617021274,0.03122855181880579,0.015003851841645948,False,0.336238477090991
Xb,46934,0.2553191489361702,0.7943262411347524,0.13417372762162386,False,0.336238477090991
Xb,46935,0.8191489361702128,9.805650880805338,0.3683297569976858,True,0.336238477090991
Xb,46936,0.11702127659574468,0.36250285975749247,0.06750351645764148,False,0.336238477090991
Xb,46937,0.10638297872340426,0.16060398078242982,0.05538597015126234,False,0.336238477090991
Xb,46938,0.23404255319148937,2.826355525051472,0.11793737356667822,False,0.336238477090991
Xb,46939,0.05319148936170213,0.07240905971173639,0.02732108511698996,False,0.336238477090991
Xb,46940,0.10638297872340426,0.6982383893845802,0.06077515075496209,False,0.336238477090991
Xb,46941,0.0425531914893617,0.06268588423701672,0.022603935927115525,False,0.336238477090991
Xb,46942,0.06382978723404255,0.1249142072752224,0.03478915097348675,False,0.336238477090991
Xb,46943,0.19148936170212766,2.177991306337212,0.10206419734307753,False,0.336238477090991
Xb,46944,0.0425531914893617,0.06268588423701675,0.02260393592711552,False,0.336238477090991
Xb,46945,0.0851063829787234,0.4012811713566692,0.049777947001768026,False,0.336238477090991
Xb,46946,2.148936170212766,146.40768702813966,0.6542342360288831,True,0.336238477090991
Xb,46947,0.031914893617021274,0.03122855181880579,0.015003851841645948,False,0.336238477090991
Xb,46948,0.02127659574468085,0.021047815145275692,0.01011248622294086,False,0.336238477090991
