outer_fold,inner_fold,role,task,task_type,model,n,n_pos,n_neg,auc,ap,brier,y_mean,y_std,r2,mse,rmse,mae
1,2,train,y,binary,xgb_clf,19830,491.0,19339.0,0.9883021856049146,0.6659410611771105,0.048184703142474784,,,,,,
1,2,val,w_reg,regression,linreg,958,,,,,,0.04665970772442589,0.1576589147525741,-0.06606794280372985,0.026470879942781897,0.16269873983157307,0.08437948208893328
1,2,train,w_reg,regression,linreg,3758,,,,,,0.04836083022884513,0.1603576840328404,-0.019564848561566484,0.02621071232501095,0.16189722766314113,0.0835849128693477
1,2,val,w_reg,regression,xgb_reg,958,,,,,,0.04665970772442589,0.1576589147525741,-0.02531535337862878,0.025458977362546504,0.15955869566572203,0.07998690992327001
1,2,train,w_reg,regression,xgb_reg,3758,,,,,,0.04836083022884513,0.1603576840328404,0.6869586001494312,0.008047588232252125,0.08970835096161407,0.04666485914783952
1,3,val,y,binary,sparse_logistic,4957,122.0,4835.0,0.7141446420397715,0.1926887259307748,0.1397387757650124,,,,,,
1,3,train,y,binary,sparse_logistic,19830,491.0,19339.0,0.9200311117462691,0.24560455252720864,0.12285001166888089,,,,,,
1,3,val,y,binary,xgb_clf,4957,122.0,4835.0,0.8406004712902844,0.2193955277590161,0.0682277980903479,,,,,,
1,3,train,y,binary,xgb_clf,19830,491.0,19339.0,0.9858139936300011,0.6248778687653563,0.052707133889907276,,,,,,
1,3,val,w_reg,regression,linreg,928,,,,,,0.05017241379310345,0.17134272830635716,-0.0203809903028338,0.0299244014858282,0.1729867089860611,0.08478429605068381
1,3,train,w_reg,regression,linreg,3788,,,,,,0.04748680042238648,0.1568595906210295,0.05669105710663491,0.023203924354191927,0.15232834389630817,0.077036131988963
1,3,val,w_reg,regression,xgb_reg,928,,,,,,0.05017241379310345,0.17134272830635716,-0.02698803247361181,0.030118164192533943,0.17354585616641482,0.08505204343534584
1,3,train,w_reg,regression,xgb_reg,3788,,,,,,0.04748680042238648,0.1568595906210295,0.689900928712359,0.007627952058201782,0.08733814778320972,0.04614092957856724
1,4,val,y,binary,sparse_logistic,4957,123.0,4834.0,0.7397827381252713,0.20106558601843788,0.13446639691941092,,,,,,
1,4,train,y,binary,sparse_logistic,19830,490.0,19340.0,0.9175033239769538,0.23642571210365904,0.12547001187016835,,,,,,
1,4,val,y,binary,xgb_clf,4957,123.0,4834.0,0.8557028298872149,0.277548893552467,0.0638501622071656,,,,,,
1,4,train,y,binary,xgb_clf,19830,490.0,19340.0,0.9855127366355022,0.6395668324977056,0.05386105325989556,,,,,,
1,4,val,w_reg,regression,linreg,929,,,,,,0.04671689989235738,0.1509413227533034,-0.05936330965030567,0.024109793611974503,0.15527328685892658,0.08050177621804538
1,4,train,w_reg,regression,linreg,3787,,,,,,0.04833377343543703,0.16191421795281422,0.055575290001113165,0.02475270232462448,0.15732991554254544,0.079110412016267
1,4,val,w_reg,regression,xgb_reg,929,,,,,,0.04671689989235738,0.1509413227533034,-0.15909709294173813,0.026379610689263668,0.16241801220697066,0.08364899642639019
1,4,train,w_reg,regression,xgb_reg,3787,,,,,,0.04833377343543703,0.16191421795281422,0.7102177682737296,0.007594986921608794,0.08714922215148449,0.04499906098639689
2,-1,test,y,binary,sparse_logistic,2754,68.0,2686.0,0.7288390784459726,0.1457141424949147,0.14442289188623153,,,,,,
2,-1,train,y,binary,sparse_logistic,24788,614.0,24174.0,0.9098345491387226,0.2630108084382647,0.12633412706705252,,,,,,
