outer_fold,inner_fold,role,task,model,cutoff,tp,fp,tn,fn,precision,recall,f1,tpr,fpr,accuracy
0,-1,test,y,xgb_clf,0.09,57,1228,1458,12,0.0443579766536965,0.8260869565217391,0.08419497784342689,0.8260869565217391,0.4571854058078928,0.5499092558983666
0,-1,test,y,xgb_clf,0.09999999999999999,56,1141,1545,13,0.04678362573099415,0.8115942028985508,0.08846761453396523,0.8115942028985508,0.424795234549516,0.581125226860254
0,-1,test,y,xgb_clf,0.11,56,1075,1611,13,0.04951370468611848,0.8115942028985508,0.09333333333333332,0.8115942028985508,0.4002233804914371,0.60508166969147
0,-1,test,y,xgb_clf,0.12,55,1018,1668,14,0.05125815470643057,0.7971014492753623,0.09632224168126095,0.7971014492753623,0.3790022338049144,0.6254083484573503
0,-1,test,y,xgb_clf,0.13,54,957,1729,15,0.05341246290801187,0.782608695652174,0.1,0.782608695652174,0.35629188384214444,0.6471869328493648
0,-1,test,y,xgb_clf,0.14,53,898,1788,16,0.05573080967402734,0.7681159420289855,0.10392156862745099,0.7681159420289855,0.3343261355174981,0.6682395644283121
0,-1,test,y,xgb_clf,0.15000000000000002,53,851,1835,16,0.0586283185840708,0.7681159420289855,0.10894141829393629,0.7681159420289855,0.3168279970215934,0.6852994555353902
0,-1,test,y,xgb_clf,0.16,53,806,1880,16,0.06169965075669383,0.7681159420289855,0.11422413793103448,0.7681159420289855,0.30007446016381234,0.701633393829401
0,-1,test,y,xgb_clf,0.17,53,765,1921,16,0.0647921760391198,0.7681159420289855,0.11950394588500562,0.7681159420289855,0.2848101265822785,0.7165154264972777
0,-1,test,y,xgb_clf,0.18000000000000002,53,726,1960,16,0.06803594351732992,0.7681159420289855,0.12500000000000003,0.7681159420289855,0.2702903946388682,0.7306715063520871
0,-1,test,y,xgb_clf,0.19,52,683,2003,17,0.0707482993197279,0.7536231884057971,0.1293532338308458,0.7536231884057971,0.2542814594192107,0.7459165154264973
0,-1,test,y,xgb_clf,0.2,51,644,2042,18,0.07338129496402877,0.7391304347826086,0.13350785340314136,0.7391304347826086,0.23976172747580043,0.7597096188747732
0,-1,test,y,xgb_clf,0.21000000000000002,51,608,2078,18,0.07738998482549317,0.7391304347826086,0.1401098901098901,0.7391304347826086,0.22635889798957556,0.7727767695099819
0,-1,test,y,xgb_clf,0.22,51,571,2115,18,0.0819935691318328,0.7391304347826086,0.1476121562952243,0.7391304347826086,0.2125837676842889,0.7862068965517242
0,-1,test,y,xgb_clf,0.23,51,546,2140,18,0.08542713567839195,0.7391304347826086,0.15315315315315312,0.7391304347826086,0.20327624720774387,0.7952813067150635
0,-1,test,y,xgb_clf,0.24000000000000002,50,521,2165,19,0.08756567425569177,0.7246376811594203,0.15625000000000003,0.7246376811594203,0.1939687267311988,0.8039927404718693
0,-1,test,y,xgb_clf,0.25,49,503,2183,20,0.08876811594202899,0.7101449275362319,0.1578099838969404,0.7101449275362319,0.18726731198808638,0.8101633393829402
0,-1,test,y,xgb_clf,0.26,47,467,2219,22,0.0914396887159533,0.6811594202898551,0.16123499142367068,0.6811594202898551,0.1738644825018615,0.8225045372050817
0,-1,test,y,xgb_clf,0.27,46,445,2241,23,0.09368635437881874,0.6666666666666666,0.16428571428571428,0.6666666666666666,0.16567386448250185,0.8301270417422868
0,-1,test,y,xgb_clf,0.28,46,420,2266,23,0.09871244635193133,0.6666666666666666,0.1719626168224299,0.6666666666666666,0.1563663440059568,0.8392014519056261
0,-1,test,y,xgb_clf,0.29000000000000004,45,396,2290,24,0.10204081632653061,0.6521739130434783,0.17647058823529413,0.6521739130434783,0.14743112434847358,0.8475499092558983
0,-1,test,y,xgb_clf,0.3,45,382,2304,24,0.1053864168618267,0.6521739130434783,0.1814516129032258,0.6521739130434783,0.14221891288160834,0.8526315789473684
0,-1,test,y,xgb_clf,0.31,45,363,2323,24,0.11029411764705882,0.6521739130434783,0.18867924528301885,0.6521739130434783,0.1351451973194341,0.8595281306715064
0,-1,test,y,xgb_clf,0.32,45,346,2340,24,0.11508951406649616,0.6521739130434783,0.19565217391304346,0.6521739130434783,0.12881608339538347,0.8656987295825771
0,-1,test,y,xgb_clf,0.33,45,334,2352,24,0.11873350923482849,0.6521739130434783,0.20089285714285712,0.6521739130434783,0.12434847356664185,0.8700544464609801
0,-1,test,y,xgb_clf,0.34,44,318,2368,25,0.12154696132596685,0.6376811594202898,0.2041763341067285,0.6376811594202898,0.11839166046165302,0.8754990925589836
0,-1,test,y,xgb_clf,0.35000000000000003,44,306,2380,25,0.12571428571428572,0.6376811594202898,0.21002386634844872,0.6376811594202898,0.11392405063291139,0.8798548094373866
0,-1,test,y,xgb_clf,0.36000000000000004,44,291,2395,25,0.13134328358208955,0.6376811594202898,0.21782178217821782,0.6376811594202898,0.10833953834698436,0.8852994555353902
0,-1,test,y,xgb_clf,0.37,44,281,2405,25,0.13538461538461538,0.6376811594202898,0.22335025380710657,0.6376811594202898,0.10461653015636635,0.8889292196007259
0,-1,test,y,xgb_clf,0.38,44,266,2420,25,0.14193548387096774,0.6376811594202898,0.23218997361477572,0.6376811594202898,0.09903201787043932,0.8943738656987296
0,-1,test,y,xgb_clf,0.39,43,258,2428,26,0.14285714285714285,0.6231884057971014,0.23243243243243242,0.6231884057971014,0.0960536113179449,0.8969147005444646
0,-1,test,y,xgb_clf,0.4,43,246,2440,26,0.14878892733564014,0.6231884057971014,0.24022346368715086,0.6231884057971014,0.09158600148920328,0.9012704174228675
0,-1,test,y,xgb_clf,0.41000000000000003,43,229,2457,26,0.15808823529411764,0.6231884057971014,0.25219941348973607,0.6231884057971014,0.08525688756515264,0.9074410163339383
