model,threshold,outer_fold,n_pos_train,n_pos_test,n_train,n_test,auc
xgboost,0.8181818181818182,9,167,17,4752,498,0.5355264767029473
xgboost,0.9090909090909092,0,98,10,4717,533,0.7059273422562141
xgboost,0.9090909090909092,1,97,11,4716,534,0.662610811750391
xgboost,0.9090909090909092,2,98,10,4700,550,0.5544444444444445
xgboost,0.9090909090909092,3,95,13,4736,514,0.5644096422539536
xgboost,0.9090909090909092,4,95,13,4724,526,0.5504573399310242
xgboost,0.9090909090909092,5,97,11,4722,528,0.6397045894144541
xgboost,0.9090909090909092,6,91,17,4719,531,0.574387731746395
xgboost,0.9090909090909092,7,99,9,4712,538,0.6114261709724848
xgboost,0.9090909090909092,8,101,7,4752,498,0.6217631655513529
xgboost,0.9090909090909092,9,101,7,4752,498,0.7078847832411987
