model,threshold,outer_fold,n_pos_train,n_pos_test,n_train,n_test,auc
xgboost,0.6363636363636364,1,190,27,5159,607,0.5401021711366538
xgboost,0.6363636363636364,2,190,27,5175,591,0.5133963750985028
xgboost,0.6363636363636364,3,199,18,5189,577,0.5373683164380838
xgboost,0.6363636363636364,4,196,21,5214,552,0.5758676351896691
xgboost,0.6363636363636364,5,199,18,5202,564,0.6163512413512413
xgboost,0.6363636363636364,6,188,29,5184,582,0.5645070773835505
xgboost,0.6363636363636364,7,202,15,5193,573,0.4633213859020311
xgboost,0.6363636363636364,8,200,17,5190,576,0.5016310638745659
xgboost,0.6363636363636364,9,201,16,5203,563,0.5339351005484461
xgboost,0.7272727272727273,0,118,23,5185,581,0.4902212872058594
xgboost,0.7272727272727273,1,122,19,5159,607,0.5357142857142857
xgboost,0.7272727272727273,2,124,17,5175,591,0.5992006558721049
xgboost,0.7272727272727273,3,128,13,5189,577,0.5941080196399345
xgboost,0.7272727272727273,4,130,11,5214,552,0.6625777180305831
xgboost,0.7272727272727273,5,127,14,5202,564,0.5384415584415585
xgboost,0.7272727272727273,6,122,19,5184,582,0.5389361503225203
xgboost,0.7272727272727273,7,132,9,5193,573,0.5616627265563436
xgboost,0.7272727272727273,8,132,9,5190,576,0.4189692337840486
xgboost,0.7272727272727273,9,134,7,5203,563,0.5074511819116136
xgboost,0.8181818181818182,0,76,14,5185,581,0.6335978835978836
xgboost,0.8181818181818182,1,78,12,5159,607,0.6505602240896359
xgboost,0.8181818181818182,2,79,11,5175,591,0.5893416927899686
xgboost,0.8181818181818182,3,80,10,5189,577,0.627689594356261
xgboost,0.8181818181818182,4,81,9,5214,552,0.7972171066093718
xgboost,0.8181818181818182,5,79,11,5202,564,0.5173434160775933
xgboost,0.8181818181818182,6,81,9,5184,582,0.5231723870467326
xgboost,0.8181818181818182,7,84,6,5193,573,0.6554967666078777
xgboost,0.8181818181818182,8,86,4,5190,576,0.5493881118881119
xgboost,0.8181818181818182,9,86,4,5203,563,0.6516100178890877
xgboost,0.9090909090909092,0,36,5,5185,581,0.5157986111111111
xgboost,0.9090909090909092,1,34,7,5159,607,0.5685714285714285
xgboost,0.9090909090909092,2,35,6,5175,591,0.5994301994301994
xgboost,0.9090909090909092,3,35,6,5189,577,0.698482194979568
xgboost,0.9090909090909092,4,38,3,5214,552,0.9271402550091075
xgboost,0.9090909090909092,5,36,5,5202,564,0.481216457960644
xgboost,0.9090909090909092,6,39,2,5184,582,0.47931034482758617
xgboost,0.9090909090909092,7,39,2,5193,573,0.5481611208406305
xgboost,0.9090909090909092,8,39,2,5190,576,0.8022648083623694
xgboost,0.9090909090909092,9,38,3,5203,563,0.5291666666666666
