model,threshold,outer_fold,n_pos_train,n_pos_test,n_train,n_test,auc
xgboost,0.09090909090909091,4,1069,110,5214,552,0.6338029617441382
xgboost,0.09090909090909091,5,1063,116,5202,564,0.5523783866995073
xgboost,0.09090909090909091,6,1046,133,5184,582,0.5657434231458379
xgboost,0.09090909090909091,7,1075,104,5193,573,0.5202046088240119
xgboost,0.09090909090909091,8,1066,113,5190,576,0.5509470746765037
xgboost,0.09090909090909091,9,1046,133,5203,563,0.5824095121524742
xgboost,0.18181818181818182,0,681,74,5185,581,0.563356255663948
xgboost,0.18181818181818182,1,669,86,5159,607,0.535430522697853
xgboost,0.18181818181818182,2,674,81,5175,591,0.5134107964173323
xgboost,0.18181818181818182,3,694,61,5189,577,0.563953488372093
xgboost,0.18181818181818182,4,681,74,5214,552,0.5707763202533078
xgboost,0.18181818181818182,5,681,74,5202,564,0.516822945394374
xgboost,0.18181818181818182,6,672,83,5184,582,0.5358910592268875
xgboost,0.18181818181818182,7,693,62,5193,573,0.4869642068051259
xgboost,0.18181818181818182,8,683,72,5190,576,0.533151455026455
xgboost,0.18181818181818182,9,667,88,5203,563,0.5454066985645933
xgboost,0.2727272727272727,0,541,57,5185,581,0.5478438462568636
xgboost,0.2727272727272727,1,525,73,5159,607,0.5706992971114874
xgboost,0.2727272727272727,2,532,66,5175,591,0.5034920634920634
xgboost,0.2727272727272727,3,547,51,5189,577,0.6145157682845
xgboost,0.2727272727272727,4,536,62,5214,552,0.588100724160632
xgboost,0.2727272727272727,5,542,56,5202,564,0.5298439257592802
xgboost,0.2727272727272727,6,532,66,5184,582,0.5637185811604416
xgboost,0.2727272727272727,7,553,45,5193,573,0.5384680134680134
xgboost,0.2727272727272727,8,541,57,5190,576,0.5234763208599533
xgboost,0.2727272727272727,9,533,65,5203,563,0.5428483163422922
xgboost,0.36363636363636365,0,412,50,5185,581,0.5165725047080979
xgboost,0.36363636363636365,1,403,59,5159,607,0.560188048991711
xgboost,0.36363636363636365,2,413,49,5175,591,0.5409292868438889
xgboost,0.36363636363636365,3,425,37,5189,577,0.6595095095095096
xgboost,0.36363636363636365,4,413,49,5214,552,0.5601290217876416
xgboost,0.36363636363636365,5,421,41,5202,564,0.5301030639369491
xgboost,0.36363636363636365,6,411,51,5184,582,0.5800745910416899
xgboost,0.36363636363636365,7,429,33,5193,573,0.5398989898989899
xgboost,0.36363636363636365,8,417,45,5190,576,0.5115714584641138
xgboost,0.36363636363636365,9,414,48,5203,563,0.586771844660194
xgboost,0.4545454545454546,0,324,42,5185,581,0.5156815973142505
xgboost,0.4545454545454546,1,318,48,5159,607,0.6005329457364341
xgboost,0.4545454545454546,2,327,39,5175,591,0.529217762913415
xgboost,0.4545454545454546,3,336,30,5189,577,0.6425350396099939
xgboost,0.4545454545454546,4,333,33,5214,552,0.5775675833479302
xgboost,0.4545454545454546,5,335,31,5202,564,0.5253888519034073
xgboost,0.4545454545454546,6,322,44,5184,582,0.5562690098006083
xgboost,0.4545454545454546,7,337,29,5193,573,0.484723630831643
xgboost,0.4545454545454546,8,332,34,5190,576,0.5334816583459951
xgboost,0.4545454545454546,9,330,36,5203,563,0.5403752899009066
xgboost,0.5454545454545454,0,248,34,5185,581,0.4814496182385203
xgboost,0.5454545454545454,1,244,38,5159,607,0.5634538895569328
xgboost,0.5454545454545454,2,249,33,5175,591,0.5509395025524058
xgboost,0.5454545454545454,3,258,24,5189,577,0.553044002411091
xgboost,0.5454545454545454,4,258,24,5214,552,0.5426136363636364
xgboost,0.5454545454545454,5,259,23,5202,564,0.5755042996062043
xgboost,0.5454545454545454,6,246,36,5184,582,0.601902726902727
xgboost,0.5454545454545454,7,261,21,5193,573,0.576432022084196
xgboost,0.5454545454545454,8,257,25,5190,576,0.4610526315789474
xgboost,0.5454545454545454,9,258,24,5203,563,0.5844155844155844
xgboost,0.6363636363636364,0,188,29,5185,581,0.42934782608695654
xgboost,0.6363636363636364,1,190,27,5159,607,0.6825670498084291
xgboost,0.6363636363636364,2,190,27,5175,591,0.5149724192277384
xgboost,0.6363636363636364,3,199,18,5189,577,0.6093222023454582
xgboost,0.6363636363636364,4,196,21,5214,552,0.6112456281947807
xgboost,0.6363636363636364,5,199,18,5202,564,0.5873015873015873
xgboost,0.6363636363636364,6,188,29,5184,582,0.6108374384236454
xgboost,0.6363636363636364,7,202,15,5193,573,0.41541218637992827
xgboost,0.6363636363636364,8,200,17,5190,576,0.4447016731558455
xgboost,0.6363636363636364,9,201,16,5203,563,0.5379341864716636
xgboost,0.7272727272727273,0,118,23,5185,581,0.44997662459093035
xgboost,0.7272727272727273,1,122,19,5159,607,0.640171858216971
xgboost,0.7272727272727273,2,124,17,5175,591,0.5287968846075015
xgboost,0.7272727272727273,3,128,13,5189,577,0.6406164757228587
xgboost,0.7272727272727273,4,130,11,5214,552,0.6474542093765754
xgboost,0.7272727272727273,5,127,14,5202,564,0.5344155844155845
xgboost,0.7272727272727273,6,122,19,5184,582,0.602037954566701
xgboost,0.7272727272727273,7,132,9,5193,573,0.46907013396375097
xgboost,0.7272727272727273,8,132,9,5190,576,0.4142661179698217
xgboost,0.7272727272727273,9,134,7,5203,563,0.5
xgboost,0.8181818181818182,0,76,14,5185,581,0.6051902242378433
xgboost,0.8181818181818182,1,78,12,5159,607,0.661344537815126
xgboost,0.8181818181818182,2,79,11,5175,591,0.5487460815047022
xgboost,0.8181818181818182,3,80,10,5189,577,0.6663139329805997
xgboost,0.8181818181818182,4,81,9,5214,552,0.7118886842643749
xgboost,0.8181818181818182,5,79,11,5202,564,0.5143843498273878
xgboost,0.8181818181818182,6,81,9,5184,582,0.5629241807252278
xgboost,0.8181818181818182,7,84,6,5193,573,0.5296884185773075
xgboost,0.8181818181818182,8,86,4,5190,576,0.49388111888111885
xgboost,0.8181818181818182,9,86,4,5203,563,0.5348837209302326
xgboost,0.9090909090909092,0,36,5,5185,581,0.5576388888888889
xgboost,0.9090909090909092,1,34,7,5159,607,0.47547619047619044
xgboost,0.9090909090909092,2,35,6,5175,591,0.6210826210826211
xgboost,0.9090909090909092,3,35,6,5189,577,0.8123175715119674
xgboost,0.9090909090909092,4,38,3,5214,552,0.7965998785670917
xgboost,0.9090909090909092,5,36,5,5202,564,0.5209302325581395
xgboost,0.9090909090909092,6,39,2,5184,582,0.5896551724137931
xgboost,0.9090909090909092,7,39,2,5193,573,0.6961471103327495
xgboost,0.9090909090909092,8,39,2,5190,576,0.47038327526132406
xgboost,0.9090909090909092,9,38,3,5203,563,0.6142857142857142
