model,threshold,outer_fold,n_pos_train,n_pos_test,n_train,n_test,auc
l2_logistic,0.7272727272727273,7,580,69,17320,1944,0.5210280193236715
l2_logistic,0.7272727272727273,8,591,58,17308,1956,0.5262435957995713
l2_logistic,0.7272727272727273,9,576,73,17308,1956,0.5385896885616802
l2_logistic,0.8181818181818182,0,395,45,17363,1901,0.5647389846743295
l2_logistic,0.8181818181818182,1,400,40,17352,1912,0.5000534188034188
l2_logistic,0.8181818181818182,2,400,40,17308,1956,0.5457985386221295
l2_logistic,0.8181818181818182,3,391,49,17404,1860,0.530093870789619
l2_logistic,0.8181818181818182,4,395,45,17329,1935,0.579294532627866
l2_logistic,0.8181818181818182,5,389,51,17317,1947,0.5297013320095971
l2_logistic,0.8181818181818182,6,408,32,17367,1897,0.5550938337801609
l2_logistic,0.8181818181818182,7,390,50,17320,1944,0.5276346356916579
l2_logistic,0.8181818181818182,8,396,44,17308,1956,0.5125523012552302
l2_logistic,0.8181818181818182,9,396,44,17308,1956,0.5137766260935717
l2_logistic,0.9090909090909092,0,208,19,17363,1901,0.5300072711001733
l2_logistic,0.9090909090909092,1,205,22,17352,1912,0.5405002405002406
l2_logistic,0.9090909090909092,2,206,21,17308,1956,0.5216931216931218
l2_logistic,0.9090909090909092,3,204,23,17404,1860,0.4534093867600767
l2_logistic,0.9090909090909092,4,201,26,17329,1935,0.5572188419228755
l2_logistic,0.9090909090909092,5,200,27,17317,1947,0.517554012345679
l2_logistic,0.9090909090909092,6,211,16,17367,1897,0.5598418394471026
l2_logistic,0.9090909090909092,7,201,26,17320,1944,0.5383412208229726
l2_logistic,0.9090909090909092,8,203,24,17308,1956,0.5265700483091788
l2_logistic,0.9090909090909092,9,204,23,17308,1956,0.4582424256056142
xgboost,0.09090909090909091,0,4214,488,17363,1901,0.5537637917232258
xgboost,0.09090909090909091,1,4235,467,17352,1912,0.5624993516741625
xgboost,0.09090909090909091,2,4219,483,17308,1956,0.5789328689355255
xgboost,0.09090909090909091,3,4263,439,17404,1860,0.5930790822337889
xgboost,0.09090909090909091,4,4218,484,17329,1935,0.5613711831680631
xgboost,0.09090909090909091,5,4199,503,17317,1947,0.5505526398396325
xgboost,0.09090909090909091,6,4269,433,17367,1897,0.5691909918095887
xgboost,0.09090909090909091,7,4232,470,17320,1944,0.5610135973902249
xgboost,0.09090909090909091,8,4227,475,17308,1956,0.5477763957496712
xgboost,0.09090909090909091,9,4242,460,17308,1956,0.5877412229714021
xgboost,0.18181818181818182,0,2784,336,17363,1901,0.5328588544043815
xgboost,0.18181818181818182,1,2814,306,17352,1912,0.5252555775319676
xgboost,0.18181818181818182,2,2812,308,17308,1956,0.5437454687302988
xgboost,0.18181818181818182,3,2831,289,17404,1860,0.5626515630403133
xgboost,0.18181818181818182,4,2795,325,17329,1935,0.5648896321070234
xgboost,0.18181818181818182,5,2787,333,17317,1947,0.5585771645251199
xgboost,0.18181818181818182,6,2827,293,17367,1897,0.5703158911594733
xgboost,0.18181818181818182,7,2815,305,17320,1944,0.5706598385660988
xgboost,0.18181818181818182,8,2787,333,17308,1956,0.5657071119178328
xgboost,0.18181818181818182,9,2828,292,17308,1956,0.5840162753556375
xgboost,0.2727272727272727,0,2186,264,17363,1901,0.5458004757409155
xgboost,0.2727272727272727,1,2208,242,17352,1912,0.5240572573860542
xgboost,0.2727272727272727,2,2202,248,17308,1956,0.5563087840900507
xgboost,0.2727272727272727,3,2226,224,17404,1860,0.5748368188962626
xgboost,0.2727272727272727,4,2198,252,17329,1935,0.5476096162370673
xgboost,0.2727272727272727,5,2187,263,17317,1947,0.5450233917072334
