arm,task,model,outer_fold,role,n,n_pos,n_neg,auc,ap
2_presence_concat_quantile,w_class,mlp_clf_w_class,9,test,498,184,314,0.6008377180836335,0.464055138033697
3_presence_concat_equaldim,y,sparse_logistic,0,test,533,17,516,0.6705426356589148,0.08986229075347822
3_presence_concat_equaldim,y,sparse_logistic,1,test,534,20,514,0.6450389105058366,0.20726724327233892
3_presence_concat_equaldim,y,sparse_logistic,2,test,550,24,526,0.6859949302915083,0.1953000221508523
3_presence_concat_equaldim,y,sparse_logistic,3,test,514,15,499,0.5816967267869072,0.14044589901918525
3_presence_concat_equaldim,y,sparse_logistic,4,test,526,16,510,0.7473039215686275,0.2999304033374901
3_presence_concat_equaldim,y,sparse_logistic,5,test,528,17,511,0.7618280188787845,0.3746328530776339
3_presence_concat_equaldim,y,sparse_logistic,6,test,531,13,518,0.8403623403623404,0.24691790811686418
3_presence_concat_equaldim,y,sparse_logistic,7,test,538,18,520,0.7930555555555556,0.38500015382063635
3_presence_concat_equaldim,y,sparse_logistic,8,test,498,22,476,0.742742551566081,0.22104799756896854
3_presence_concat_equaldim,y,sparse_logistic,9,test,498,20,478,0.7658995815899581,0.2615925930265578
3_presence_concat_equaldim,y,xgb_clf,0,test,533,17,516,0.7324441404468764,0.10273175691881999
3_presence_concat_equaldim,y,xgb_clf,1,test,534,20,514,0.7996108949416342,0.3436089311989972
3_presence_concat_equaldim,y,xgb_clf,2,test,550,24,526,0.7267110266159695,0.2584832636639998
3_presence_concat_equaldim,y,xgb_clf,3,test,514,15,499,0.6686706746826987,0.15468980420028114
3_presence_concat_equaldim,y,xgb_clf,4,test,526,16,510,0.8132352941176471,0.3473346004706471
3_presence_concat_equaldim,y,xgb_clf,5,test,528,17,511,0.8018878784390469,0.35744714027776703
3_presence_concat_equaldim,y,xgb_clf,6,test,531,13,518,0.9242649242649242,0.20573621668151665
3_presence_concat_equaldim,y,xgb_clf,7,test,538,18,520,0.8338675213675214,0.5185206724993383
3_presence_concat_equaldim,y,xgb_clf,8,test,498,22,476,0.8262987012987013,0.24921592727941805
